player_id,player_name_ko,team_name_ko,main_position,matches_played,total_fantasy_score,avg_fantasy_score,std_fantasy_score,max_fantasy_score,total_goals,total_assists,total_shots,total_shots_on_target,total_passes_successful,total_passes,total_key_passes,total_tackles,total_interceptions,total_duels_won,total_duels,pass_success_rate,duel_win_rate,shot_conversion,recent_5_avg,recent_5_matches,last_match_score,form_index,trend
408811.0,페트라섹,전북 현대 모터스,CB,1,33.4,33.4,,33.4,0,0,0,0,13,16,0,0,8,6,6,81.2,100.0,0.0,,,,,stable
250168.0,김재우,대전 하나 시티즌,CB,4,131.54999999999998,32.8875,12.332232495916273,43.89999999999999,1,2,4,0,131,149,3,1,28,12,12,87.9,100.0,25.0,32.8875,4.0,34.4,1.0,stable
530218.0,야잔,FC서울,CB,7,216.9,30.985714285714288,7.596035933614446,43.65,0,0,2,0,283,333,0,5,55,30,30,85.0,100.0,0.0,32.18,5.0,25.6,1.04,stable
527819.0,민상기,포항 스틸러스,CB,5,149.75,29.95,4.143669871020131,35.099999999999994,0,2,1,0,332,355,4,2,25,22,22,93.5,100.0,0.0,29.95,5.0,35.099999999999994,1.0,stable
500125.0,술라카,FC서울,CB,3,89.1,29.7,5.673843494492956,35.650000000000006,0,0,1,0,184,196,0,3,17,14,14,93.9,100.0,0.0,29.7,3.0,24.35,1.0,stable
533477.0,연제운,전북 현대 모터스,CB,1,29.35,29.35,,29.35,0,0,0,0,91,94,2,0,6,0,0,96.8,0.0,0.0,,,,,stable
342719.0,김강산,대구FC,CB,9,258.9,28.766666666666666,8.892131353055914,47.75,0,0,3,0,296,343,4,6,59,40,40,86.3,100.0,0.0,27.7,5.0,31.5,0.96,stable
250899.0,박찬용,포항 스틸러스,CB,6,165.5,27.58333333333333,10.015970580361476,41.45,1,2,2,0,315,356,2,3,31,14,14,88.5,100.0,50.0,28.99,5.0,28.65,1.05,stable
250108.0,김승우,광주FC,CB,2,52.75,26.375,1.590990257669728,27.5,0,0,1,0,147,153,1,1,8,5,5,96.1,100.0,0.0,,,,,stable
77545.0,이동경,울산 HD FC,CM,8,206.6,25.825,12.210007605005234,47.35,7,3,23,0,192,227,8,8,14,7,7,84.6,100.0,30.4,28.01,5.0,47.35,1.08,stable
533476.0,김태현,전북 현대 모터스,LB,8,198.2,24.775,6.198790204547982,34.85,0,1,3,0,310,357,2,11,38,23,23,86.8,100.0,0.0,22.49,5.0,28.450000000000003,0.91,stable
356619.0,김재우,김천 상무 프로축구단,CB,5,116.05,23.21,6.775913222584835,29.5,0,0,2,0,191,217,0,4,30,13,13,88.0,100.0,0.0,23.21,5.0,11.9,1.0,stable
354820.0,이현용,수원FC,CB,1,22.85,22.85,,22.85,0,0,0,0,38,40,0,1,6,1,1,95.0,100.0,0.0,,,,,stable
356605.0,권한진,인천 유나이티드,CB,7,159.4,22.77142857142857,11.798653070826104,48.0,0,0,4,0,310,329,2,5,36,17,17,94.2,100.0,0.0,19.83,5.0,23.2,0.87,down
526911.0,김강산,김천 상무 프로축구단,RB,8,180.35,22.543750000000003,5.391490484351906,34.7,0,0,4,0,237,296,2,11,37,25,25,80.1,100.0,0.0,24.82,5.0,20.95,1.1,stable
500490.0,홍정운,대전 하나 시티즌,CB,6,132.15,22.025,11.17563197318165,32.35,0,0,0,0,195,219,0,1,38,14,14,89.0,100.0,0.0,23.380000000000003,5.0,11.05,1.06,stable
491803.0,아스프로,포항 스틸러스,CB,5,105.95,21.19,10.183712486122142,35.5,0,0,0,0,171,188,2,1,23,13,13,91.0,100.0,0.0,21.19,5.0,35.5,1.0,stable
142106.0,설영우,울산 HD FC,LB,9,184.4,20.48888888888889,5.7866105027996415,29.95,0,0,5,0,421,464,6,6,32,4,4,90.7,100.0,0.0,18.58,5.0,20.15,0.91,stable
532191.0,밥신,대전 하나 시티즌,CM,9,181.35,20.15,7.797796163019395,32.4,0,2,4,0,320,371,9,9,30,15,15,86.3,100.0,0.0,19.89,5.0,11.8,0.99,stable
532201.0,루카스,FC서울,LW,7,127.85,18.264285714285712,4.11903248001622,23.05,1,0,19,0,103,132,8,3,17,15,15,78.0,100.0,5.3,17.8,5.0,13.05,0.97,stable
526909.0,박찬용,김천 상무 프로축구단,CB,8,145.35,18.16875,10.081274632420532,32.85,0,0,5,0,214,242,0,1,33,27,27,88.4,100.0,0.0,24.65,5.0,32.85,1.36,up
62119.0,정치인,대구FC,CF,9,163.1,18.12222222222222,7.515946011277919,36.35,3,3,19,0,96,127,8,2,11,29,29,75.6,100.0,15.8,20.79,5.0,20.45,1.15,up
250959.0,최영준,제주SK FC,CM,9,158.45,17.605555555555554,7.430782447210912,28.8,0,0,3,0,219,269,6,8,32,16,16,81.4,100.0,0.0,14.81,5.0,3.1,0.84,down
250106.0,박한빈,광주FC,CB,1,17.450000000000003,17.450000000000003,,17.450000000000003,0,0,1,0,37,45,0,0,4,2,2,82.2,100.0,0.0,,,,,stable
261824.0,김진규,전북 현대 모터스,CM,9,154.65,17.183333333333334,8.945669343319144,32.8,2,0,12,0,318,363,10,4,18,4,4,87.6,100.0,16.7,18.08,5.0,17.05,1.05,stable
62015.0,황현수,FC서울,CB,3,51.2,17.066666666666666,9.23178386517651,24.05,0,0,3,0,116,133,0,0,7,9,9,87.2,100.0,0.0,17.066666666666666,3.0,6.6,1.0,stable
344473.0,황도윤,FC서울,CM,5,85.25,17.05,6.506343058892607,24.2,0,0,4,0,166,193,2,4,11,12,12,86.0,100.0,0.0,17.049999999999997,5.0,16.65,1.0,stable
62013.0,윤종규,FC서울,RB,9,145.60000000000002,16.17777777777778,9.491908103455511,32.3,0,1,3,0,235,287,5,3,30,9,9,81.9,100.0,0.0,10.42,5.0,0.25,0.64,down
